activity_a,activity_b,capacity_a,capacity_b,count,weighted
Bridge Club,Go Club,<bound method EighthActivity.capacity of <EighthActivity: Bridge Club>>,<bound method EighthActivity.capacity of <EighthActivity: Go Club>>,40,0.666666666666667
Latin Convention Meeting,Active Science Alliance,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Active Science Alliance>>,40,0.476190476190476
Active Science Alliance,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Active Science Alliance>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,40,0.526315789473684
CS: Lab 211,Botball Robotics (R),<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Botball Robotics (R)>>,40,0.714285714285714
Botball Robotics (R),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Botball Robotics (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,40,0.512820512820513
Computer Team (Intermediate),World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,40,0.512820512820513
Assistive Technology Club,UAV Club (Unmanned Aerial Vehicle),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,40,0.869565217391304
League of Legends,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: League of Legends>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,40,0.666666666666667
TWIST,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,40,0.666666666666667
Computer Team (Freshman),Design & Tech (Piccione students only),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech (Piccione students only)>>,40,0.625
Latin: Certamen,Latin Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Honor Society>>,40,0.714285714285714
Cancer Research Society,Relay For Life,<bound method EighthActivity.capacity of <EighthActivity: Cancer Research Society>>,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,40,0.615384615384615
Chem.Tutoring/Makeups (Jones),French Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Chem.Tutoring/Makeups (Jones)>>,<bound method EighthActivity.capacity of <EighthActivity: French Honor Society>>,40,0.476190476190476
Math Teams (V & JV),Open Music Practice-Strings Only,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,40,0.294117647058824
Lab 207: Robotics (DelaCuesta),Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,40,0.714285714285714
Computer Team (Freshman),History Quiz Bowl,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: History Quiz Bowl>>,40,0.588235294117647
Lab 15 - CS Foundations,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 15 - CS Foundations>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,40,0.571428571428571
Botball Robotics (R),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Botball Robotics (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,40,0.689655172413793
Awesome Association,TJ Media (R),<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,40,0.666666666666667
Lab 9: Energy Systems Open Lab,Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Lab 9: Energy Systems Open Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,40,0.571428571428571
Lab 16 - AP Comp Sci,Botball Robotics (R),<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Botball Robotics (R)>>,40,0.689655172413793
Lab 16 - AP Comp Sci,Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,40,0.689655172413793
AP Physics Tutoring (Dell),Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: AP Physics Tutoring (Dell)>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,40,0.588235294117647
Computer Tech Assistants,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Tech Assistants>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,40,0.930232558139535
Chem.Tutoring/Makeups (Jones),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Chem.Tutoring/Makeups (Jones)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,40,0.526315789473684
Forensic Science Society,Band,<bound method EighthActivity.capacity of <EighthActivity: Forensic Science Society>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,40,0.388349514563107
Little Sunshine,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Little Sunshine>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,40,0.689655172413793
Computer Team (Freshman),Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,40,0.625
Computer Team (Freshman),TSA - Technology Student Assn (R),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,40,0.563380281690141
Startup TJ,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Startup TJ>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,40,0.408163265306122
Design & Tech Tutoring (Seyler),History Quiz Bowl,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: History Quiz Bowl>>,40,0.645161290322581
AP Physics Tutoring (Dell),Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: AP Physics Tutoring (Dell)>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,40,0.588235294117647
Dev Club,Debate: Lincoln-Douglas,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,40,0.571428571428571
Lab 8: Prototyping Lab,Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,40,0.727272727272727
Spanish Tertulia (Pou) Level 2,Debate: Congressional,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Congressional>>,40,0.769230769230769
Startup TJ,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Startup TJ>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,40,0.689655172413793
League of Legends,Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: League of Legends>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,40,0.5
Namaste,TSA - Technology Student Assn (R),<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,40,0.380952380952381
Biology Olympiad,Band,<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,40,0.32
Physics Team,Botball Robotics (R),<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: Botball Robotics (R)>>,40,0.37037037037037
Design & Tech Tutoring (Seyler),Latin:,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,40,0.689655172413793
Physics Team,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,40,0.285714285714286
Urban Dance Movement,Band,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,40,0.363636363636364
Spanish Tertulia (Pou) Level 2,SGA,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: SGA>>,40,0.816326530612245
Rotary Interact,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Rotary Interact>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,40,0.714285714285714
Chemistry Society,Coding Lady Colonials,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Society>>,<bound method EighthActivity.capacity of <EighthActivity: Coding Lady Colonials>>,40,0.615384615384615
Lab 200 - Computer Systems,Math Teams (V & JV),<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,40,0.294117647058824
Environmental Science Club,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Environmental Science Club>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,40,0.689655172413793
Rubiks Cube Club,Chinese Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Rubiks Cube Club>>,<bound method EighthActivity.capacity of <EighthActivity: Chinese Honor Society>>,40,0.714285714285714
Debate: Lincoln-Douglas,Physics Team,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,40,0.333333333333333
MIT Launch,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,40,0.416666666666667
Computer Team (Senior),Design & Tech  Tutoring/Makeups (Geiger),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,40,0.421052631578947
Computer Security,Game Theory Society,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,<bound method EighthActivity.capacity of <EighthActivity: Game Theory Society>>,40,0.689655172413793
Debate: Congressional,Computer Team (Freshman),<bound method EighthActivity.capacity of <EighthActivity: Debate: Congressional>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,40,0.625
GSA,Band,<bound method EighthActivity.capacity of <EighthActivity: GSA>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,40,0.380952380952381
Debate: Lincoln-Douglas,Electronics Club,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Electronics Club>>,40,0.625
Chemistry Society,Computer Team (Senior),<bound method EighthActivity.capacity of <EighthActivity: Chemistry Society>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,40,0.4
Chem.Tutoring/Makeups (Jones),Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Chem.Tutoring/Makeups (Jones)>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,40,0.714285714285714
Little Sunshine,Band,<bound method EighthActivity.capacity of <EighthActivity: Little Sunshine>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,40,0.388349514563107
Design & Tech Tutoring (Seyler),Key Club,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Key Club>>,40,0.689655172413793
TJ Media (R),Threshold,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Threshold>>,40,0.689655172413793
Rotary Interact,TWIST,<bound method EighthActivity.capacity of <EighthActivity: Rotary Interact>>,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,40,0.689655172413793
Chemistry Team,Computer Team (Senior),<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,40,0.43010752688172
Band,Bridge Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Bridge Club>>,40,0.373831775700935
Spanish Tertulia (Pou) Level 2,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,40,0.740740740740741
Lab 207: Robotics (DelaCuesta),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,40,0.512820512820513
Computer Team (Intermediate),Art Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Art Club>>,40,0.512820512820513
AP Physics Tutoring (Dell),Chemistry Team,<bound method EighthActivity.capacity of <EighthActivity: AP Physics Tutoring (Dell)>>,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,40,0.714285714285714
Dev Club,Young Democrats,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,40,0.666666666666667
Computer Team (Freshman),Go Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Go Club>>,40,0.625
Awesome Association,Lab 15 - CS Foundations,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 15 - CS Foundations>>,40,0.666666666666667
Band,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,40,0.380952380952381
Amnesty International,GSA,<bound method EighthActivity.capacity of <EighthActivity: Amnesty International>>,<bound method EighthActivity.capacity of <EighthActivity: GSA>>,40,0.666666666666667
Aerospace Initiative (formerly Rocketry Club),World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,40,0.634920634920635
Chinese Honor Society,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Chinese Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,40,0.689655172413793
Chem.Tutoring/Makeups (Jones),Digital Arts Studio,<bound method EighthActivity.capacity of <EighthActivity: Chem.Tutoring/Makeups (Jones)>>,<bound method EighthActivity.capacity of <EighthActivity: Digital Arts Studio>>,40,0.714285714285714
Lab 16 - AP Comp Sci,Debate: Policy - Novice,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Novice>>,40,0.689655172413793
Computer Tech Assistants,Band,<bound method EighthActivity.capacity of <EighthActivity: Computer Tech Assistants>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,40,0.444444444444444
Lab 16 - CS Foundations,TJ Media (R),<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - CS Foundations>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,40,0.666666666666667
UNICEF,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,40,0.512820512820513
Drama,Open Music Practice-Strings Only,<bound method EighthActivity.capacity of <EighthActivity: Drama>>,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,40,0.5
Spanish Honor Society,Math 3/4 (Hill),<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3/4 (Hill)>>,40,0.714285714285714
Drama,TJ Media (R),<bound method EighthActivity.capacity of <EighthActivity: Drama>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,40,0.444444444444444
Aerospace Initiative (formerly Rocketry Club),Math Teams (V & JV),<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,40,0.264900662251656
AP Physics Tutoring (Dell),Electronics Club,<bound method EighthActivity.capacity of <EighthActivity: AP Physics Tutoring (Dell)>>,<bound method EighthActivity.capacity of <EighthActivity: Electronics Club>>,40,0.769230769230769
Awesome Association,Physics tutoring / makeup Smith,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,40,0.689655172413793
Lab 9: Energy Systems Open Lab,Electronics Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 9: Energy Systems Open Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Electronics Club>>,40,0.625
Model UN,Electronics Club,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Electronics Club>>,40,0.476190476190476
French Honor Society,Band,<bound method EighthActivity.capacity of <EighthActivity: French Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,40,0.305343511450382
Orchestra,Chinese Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,<bound method EighthActivity.capacity of <EighthActivity: Chinese Honor Society>>,40,0.454545454545455
Little Sunshine,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Little Sunshine>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,40,0.512820512820513
TSA - Technology Student Assn (R),Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,40,0.470588235294118
Investment Club,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,40,0.454545454545455
Chem.Tutoring/Makeups (Jones),Mobile Apps Club,<bound method EighthActivity.capacity of <EighthActivity: Chem.Tutoring/Makeups (Jones)>>,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,40,0.625
Aerospace Initiative (formerly Rocketry Club),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,40,0.615384615384615
IBET Project Work (James),Electronics Club,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Electronics Club>>,40,0.769230769230769
Chemistry Team,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,40,0.454545454545455
AP Physics Tutoring (Dell),Debate: Policy - Novice,<bound method EighthActivity.capacity of <EighthActivity: AP Physics Tutoring (Dell)>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Novice>>,40,0.714285714285714
Math Teams (V & JV),Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,40,0.240963855421687
Mock Trial Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Mock Trial Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,40,0.689655172413793
Spanish Tertulia (Pou) Level 2,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,40,0.769230769230769
Debate: Policy - Novice,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Novice>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,40,0.689655172413793
Biology Society,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,40,0.526315789473684
Computer Tech Assistants,Lab 200 - Computer Systems,<bound method EighthActivity.capacity of <EighthActivity: Computer Tech Assistants>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,40,1.14285714285714
Spanish Honor Society,Red Cross Youth Task Force,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Red Cross Youth Task Force>>,40,0.634920634920635
Chemistry Team,Spanish Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,40,0.714285714285714
Forensic Science Society,Biology Society,<bound method EighthActivity.capacity of <EighthActivity: Forensic Science Society>>,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,40,0.714285714285714
Namaste,Math 3/4 (Hill),<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3/4 (Hill)>>,40,0.408163265306122
Physics tutoring / makeup Smith,Red Cross Youth Task Force,<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,<bound method EighthActivity.capacity of <EighthActivity: Red Cross Youth Task Force>>,40,0.634920634920635
Aerospace Initiative (formerly Rocketry Club),Cubesat Outreach,<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Cubesat Outreach>>,40,0.634920634920635
Debate: Lincoln-Douglas,History Quiz Bowl,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: History Quiz Bowl>>,40,0.555555555555556
Send-a-Smile,Environmental Impact Club,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Impact Club>>,40,0.588235294117647
WISE (Women in Sci. & Eng),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,40,0.377358490566038
Aerospace Initiative (formerly Rocketry Club),Open Music Practice-Strings Only,<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,40,0.727272727272727
Biology Society,Coding Lady Colonials,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: Coding Lady Colonials>>,40,0.689655172413793
Spanish Tertulia Mateo,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,40,0.476190476190476
Physics  Retakes,Active Science Alliance,<bound method EighthActivity.capacity of <EighthActivity: Physics  Retakes>>,<bound method EighthActivity.capacity of <EighthActivity: Active Science Alliance>>,40,1.42857142857143
Startup TJ,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Startup TJ>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,40,0.714285714285714
Orchestra,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,40,0.333333333333333
Latin Tutoring/Makeup (Lister),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Latin Tutoring/Makeup (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,40,0.714285714285714
Environmental Science Club,Model UN,<bound method EighthActivity.capacity of <EighthActivity: Environmental Science Club>>,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,40,0.454545454545455
AP Physics Tutoring (Dell),Debate: Lincoln-Douglas,<bound method EighthActivity.capacity of <EighthActivity: AP Physics Tutoring (Dell)>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,40,0.588235294117647
Little Sunshine,Teknos,<bound method EighthActivity.capacity of <EighthActivity: Little Sunshine>>,<bound method EighthActivity.capacity of <EighthActivity: Teknos>>,40,0.833333333333333
TWIST,Music Matters,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Music Matters>>,40,0.645161290322581
Japanese National Honor Society,Japanese,<bound method EighthActivity.capacity of <EighthActivity: Japanese National Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Japanese>>,38,0.678571428571429
Environmental Impact Club,Electronics Club,<bound method EighthActivity.capacity of <EighthActivity: Environmental Impact Club>>,<bound method EighthActivity.capacity of <EighthActivity: Electronics Club>>,36,0.5625
Namaste,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,36,0.514285714285714
Choir,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Choir>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,36,0.4
Otaku Club,Japanese,<bound method EighthActivity.capacity of <EighthActivity: Otaku Club>>,<bound method EighthActivity.capacity of <EighthActivity: Japanese>>,36,0.642857142857143
TWIST,Environmental Science Club,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Science Club>>,36,0.6
German Honor Society,Game Theory Society,<bound method EighthActivity.capacity of <EighthActivity: German Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Game Theory Society>>,36,0.642857142857143
Debate: Congressional,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Debate: Congressional>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,36,0.473684210526316
Debate: Forensics,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Debate: Forensics>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,36,0.620689655172414
Forensic Science Society,FBLA-Future Business Leaders of America,<bound method EighthActivity.capacity of <EighthActivity: Forensic Science Society>>,<bound method EighthActivity.capacity of <EighthActivity: FBLA-Future Business Leaders of America>>,36,0.529411764705882
Debate: Congressional,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Debate: Congressional>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,36,0.409090909090909
Drama,Latin,<bound method EighthActivity.capacity of <EighthActivity: Drama>>,<bound method EighthActivity.capacity of <EighthActivity: Latin>>,36,0.6
CS: Lab 211,Football,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Football>>,36,0.620689655172414
Namaste,Physics Lab work only (Forbes),<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Lab work only (Forbes)>>,36,0.36734693877551
CS: Lab 211,German Honor Society,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: German Honor Society>>,36,0.642857142857143
